"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
"2023-06-01",yandex,cpc,prof-frontend,227,121016,227,49,5271604
"2023-06-01",yandex,cpc,freemium,122,75488,122,28,2118794
"2023-06-01",yandex,cpc,prof-data-analytics,79,34294,79,16,2103232
"2023-06-01",yandex,cpc,prof-java,131,73618,131,18,1442448
"2023-06-01",yandex,cpc,base-python,29,17679,29,6,447240
"2023-06-01",yandex,cpc,base-frontend,94,50594,94,2,402300
"2023-06-01",yandex,cpc,prof-professions-brand,16,8234,16,4,316620
"2023-06-01",vk,cpc,freemium-frontend,37,30478,37,2,103307
"2023-06-01",yandex,cpc,base-java,24,13532,24,2,96000
"2023-06-01",vk,cpc,prof-python,22,22816,22,1,51200
"2023-06-01",vk,cpc,base-python,30,14972,30,1,9072
"2023-06-01",yandex,cpc,prof-python,162,90831,162,0,0
"2023-06-01",vk,cpc,prof-data-analytics,64,17152,64,0,0
"2023-06-01",vk,cpc,freemium-python,24,11760,24,0,0
"2023-06-01",vk,cpc,freemium-java,20,4870,20,0,0
